"X","Notes","ICD.Chapter","ICD.Chapter.Code","State","State.Code","Year","Year.Code","Deaths","Population","Crude.Rate"
33,"","Certain infectious and parasitic diseases","A00-B99","Arizona",4,2007,2007,1194,6167681,19.4
34,"","Certain infectious and parasitic diseases","A00-B99","Arizona",4,2008,2008,1183,6280362,18.8
35,"","Certain infectious and parasitic diseases","A00-B99","Arizona",4,2009,2009,1311,6343154,20.7
36,"","Certain infectious and parasitic diseases","A00-B99","Arizona",4,2010,2010,1249,6392017,19.5
37,"","Certain infectious and parasitic diseases","A00-B99","Arkansas",5,1999,1999,702,2651860,26.5
38,"","Certain infectious and parasitic diseases","A00-B99","Arkansas",5,2000,2000,636,2673400,23.8
39,"","Certain infectious and parasitic diseases","A00-B99","Arkansas",5,2001,2001,719,2691571,26.7
40,"","Certain infectious and parasitic diseases","A00-B99","Arkansas",5,2002,2002,771,2705927,28.5
41,"","Certain infectious and parasitic diseases","A00-B99","Arkansas",5,2003,2003,768,2724816,28.2
42,"","Certain infectious and parasitic diseases","A00-B99","Arkansas",5,2004,2004,739,2749686,26.9
43,"","Certain infectious and parasitic diseases","A00-B99","Arkansas",5,2005,2005,784,2781097,28.2
44,"","Certain infectious and parasitic diseases","A00-B99","Arkansas",5,2006,2006,747,2821761,26.5
45,"","Certain infectious and parasitic diseases","A00-B99","Arkansas",5,2007,2007,719,2848650,25.2
46,"","Certain infectious and parasitic diseases","A00-B99","Arkansas",5,2008,2008,773,2874554,26.9
47,"","Certain infectious and parasitic diseases","A00-B99","Arkansas",5,2009,2009,786,2896843,27.1
48,"","Certain infectious and parasitic diseases","A00-B99","Arkansas",5,2010,2010,731,2915918,25.1
49,"","Certain infectious and parasitic diseases","A00-B99","California",6,1999,1999,4443,33499204,13.3
50,"","Certain infectious and parasitic diseases","A00-B99","California",6,2000,2000,4137,33871648,12.2
51,"","Certain infectious and parasitic diseases","A00-B99","California",6,2001,2001,4353,34479458,12.6
52,"","Certain infectious and parasitic diseases","A00-B99","California",6,2002,2002,4559,34871843,13.1
53,"","Certain infectious and parasitic diseases","A00-B99","California",6,2003,2003,4521,35253159,12.8
54,"","Certain infectious and parasitic diseases","A00-B99","California",6,2004,2004,4799,35574576,13.5
55,"","Certain infectious and parasitic diseases","A00-B99","California",6,2005,2005,4897,35827943,13.7
56,"","Certain infectious and parasitic diseases","A00-B99","California",6,2006,2006,4960,36021202,13.8
57,"","Certain infectious and parasitic diseases","A00-B99","California",6,2007,2007,4856,36250311,13.4
58,"","Certain infectious and parasitic diseases","A00-B99","California",6,2008,2008,5085,36604337,13.9
59,"","Certain infectious and parasitic diseases","A00-B99","California",6,2009,2009,5220,36961229,14.1
60,"","Certain infectious and parasitic diseases","A00-B99","California",6,2010,2010,5090,37253956,13.7
61,"","Certain infectious and parasitic diseases","A00-B99","Colorado",8,1999,1999,533,4226018,12.6
62,"","Certain infectious and parasitic diseases","A00-B99","Colorado",8,2000,2000,533,4301261,12.4
63,"","Certain infectious and parasitic diseases","A00-B99","Colorado",8,2001,2001,568,4425687,12.8
64,"","Certain infectious and parasitic diseases","A00-B99","Colorado",8,2002,2002,562,4490406,12.5
65,"","Certain infectious and parasitic diseases","A00-B99","Colorado",8,2003,2003,676,4528732,14.9
66,"","Certain infectious and parasitic diseases","A00-B99","Colorado",8,2004,2004,636,4575013,13.9
67,"","Certain infectious and parasitic diseases","A00-B99","Colorado",8,2005,2005,620,4631888,13.4
68,"","Certain infectious and parasitic diseases","A00-B99","Colorado",8,2006,2006,643,4720423,13.6
69,"","Certain infectious and parasitic diseases","A00-B99","Colorado",8,2007,2007,641,4803868,13.3
70,"","Certain infectious and parasitic diseases","A00-B99","Colorado",8,2008,2008,671,4889730,13.7
71,"","Certain infectious and parasitic diseases","A00-B99","Colorado",8,2009,2009,748,4972195,15
72,"","Certain infectious and parasitic diseases","A00-B99","Colorado",8,2010,2010,722,5029196,14.4
73,"","Certain infectious and parasitic diseases","A00-B99","Connecticut",9,1999,1999,845,3386401,25
74,"","Certain infectious and parasitic diseases","A00-B99","Connecticut",9,2000,2000,908,3405565,26.7
75,"","Certain infectious and parasitic diseases","A00-B99","Connecticut",9,2001,2001,897,3432835,26.1
76,"","Certain infectious and parasitic diseases","A00-B99","Connecticut",9,2002,2002,866,3458749,25
77,"","Certain infectious and parasitic diseases","A00-B99","Connecticut",9,2003,2003,983,3484336,28.2
78,"","Certain infectious and parasitic diseases","A00-B99","Connecticut",9,2004,2004,920,3496094,26.3
79,"","Certain infectious and parasitic diseases","A00-B99","Connecticut",9,2005,2005,1002,3506956,28.6
80,"","Certain infectious and parasitic diseases","A00-B99","Connecticut",9,2006,2006,996,3517460,28.3
81,"","Certain infectious and parasitic diseases","A00-B99","Connecticut",9,2007,2007,1055,3527270,29.9
82,"","Certain infectious and parasitic diseases","A00-B99","Connecticut",9,2008,2008,987,3545579,27.8
83,"","Certain infectious and parasitic diseases","A00-B99","Connecticut",9,2009,2009,1013,3561807,28.4
84,"","Certain infectious and parasitic diseases","A00-B99","Connecticut",9,2010,2010,1002,3574097,28
85,"","Certain infectious and parasitic diseases","A00-B99","Delaware",10,1999,1999,209,774990,27
86,"","Certain infectious and parasitic diseases","A00-B99","Delaware",10,2000,2000,255,783600,32.5
87,"","Certain infectious and parasitic diseases","A00-B99","Delaware",10,2001,2001,234,795699,29.4
88,"","Certain infectious and parasitic diseases","A00-B99","Delaware",10,2002,2002,262,806169,32.5
89,"","Certain infectious and parasitic diseases","A00-B99","Delaware",10,2003,2003,247,818003,30.2
90,"","Certain infectious and parasitic diseases","A00-B99","Delaware",10,2004,2004,242,830803,29.1
91,"","Certain infectious and parasitic diseases","A00-B99","Delaware",10,2005,2005,251,845150,29.7
92,"","Certain infectious and parasitic diseases","A00-B99","Delaware",10,2006,2006,222,859268,25.8
93,"","Certain infectious and parasitic diseases","A00-B99","Delaware",10,2007,2007,231,871749,26.5
94,"","Certain infectious and parasitic diseases","A00-B99","Delaware",10,2008,2008,276,883874,31.2
95,"","Certain infectious and parasitic diseases","A00-B99","Delaware",10,2009,2009,257,891730,28.8
96,"","Certain infectious and parasitic diseases","A00-B99","Delaware",10,2010,2010,250,897934,27.8
97,"","Certain infectious and parasitic diseases","A00-B99","District of Columbia",11,1999,1999,457,570213,80.1
98,"","Certain infectious and parasitic diseases","A00-B99","District of Columbia",11,2000,2000,434,572059,75.9
99,"","Certain infectious and parasitic diseases","A00-B99","District of Columbia",11,2001,2001,374,574504,65.1
100,"","Certain infectious and parasitic diseases","A00-B99","District of Columbia",11,2002,2002,403,573158,70.3
101,"","Certain infectious and parasitic diseases","A00-B99","District of Columbia",11,2003,2003,405,568502,71.2
102,"","Certain infectious and parasitic diseases","A00-B99","District of Columbia",11,2004,2004,395,567754,69.6
103,"","Certain infectious and parasitic diseases","A00-B99","District of Columbia",11,2005,2005,399,567136,70.4
104,"","Certain infectious and parasitic diseases","A00-B99","District of Columbia",11,2006,2006,386,570681,67.6
105,"","Certain infectious and parasitic diseases","A00-B99","District of Columbia",11,2007,2007,351,574404,61.1
106,"","Certain infectious and parasitic diseases","A00-B99","District of Columbia",11,2008,2008,329,580236,56.7
107,"","Certain infectious and parasitic diseases","A00-B99","District of Columbia",11,2009,2009,302,592228,51
108,"","Certain infectious and parasitic diseases","A00-B99","District of Columbia",11,2010,2010,258,601723,42.9
109,"","Certain infectious and parasitic diseases","A00-B99","Florida",12,1999,1999,4104,15759421,26
110,"","Certain infectious and parasitic diseases","A00-B99","Florida",12,2000,2000,4120,15982378,25.8
111,"","Certain infectious and parasitic diseases","A00-B99","Florida",12,2001,2001,4357,16356966,26.6
112,"","Certain infectious and parasitic diseases","A00-B99","Florida",12,2002,2002,4789,16689370,28.7
113,"","Certain infectious and parasitic diseases","A00-B99","Florida",12,2003,2003,4973,17004085,29.2
114,"","Certain infectious and parasitic diseases","A00-B99","Florida",12,2004,2004,5133,17415318,29.5
115,"","Certain infectious and parasitic diseases","A00-B99","Florida",12,2005,2005,5062,17842038,28.4
116,"","Certain infectious and parasitic diseases","A00-B99","Florida",12,2006,2006,5233,18166990,28.8
117,"","Certain infectious and parasitic diseases","A00-B99","Florida",12,2007,2007,4864,18367842,26.5
118,"","Certain infectious and parasitic diseases","A00-B99","Florida",12,2008,2008,4853,18527305,26.2
119,"","Certain infectious and parasitic diseases","A00-B99","Florida",12,2009,2009,4844,18652644,26
120,"","Certain infectious and parasitic diseases","A00-B99","Florida",12,2010,2010,4556,18801310,24.2
121,"","Certain infectious and parasitic diseases","A00-B99","Georgia",13,1999,1999,2264,8045965,28.1
122,"","Certain infectious and parasitic diseases","A00-B99","Georgia",13,2000,2000,2238,8186453,27.3
123,"","Certain infectious and parasitic diseases","A00-B99","Georgia",13,2001,2001,2354,8377038,28.1
124,"","Certain infectious and parasitic diseases","A00-B99","Georgia",13,2002,2002,2386,8508256,28
125,"","Certain infectious and parasitic diseases","A00-B99","Georgia",13,2003,2003,2420,8622793,28.1
126,"","Certain infectious and parasitic diseases","A00-B99","Georgia",13,2004,2004,2458,8769252,28
127,"","Certain infectious and parasitic diseases","A00-B99","Georgia",13,2005,2005,2426,8925922,27.2
128,"","Certain infectious and parasitic diseases","A00-B99","Georgia",13,2006,2006,2538,9155813,27.7
129,"","Certain infectious and parasitic diseases","A00-B99","Georgia",13,2007,2007,2535,9349988,27.1
130,"","Certain infectious and parasitic diseases","A00-B99","Georgia",13,2008,2008,2483,9504843,26.1
131,"","Certain infectious and parasitic diseases","A00-B99","Georgia",13,2009,2009,2590,9620846,26.9
132,"","Certain infectious and parasitic diseases","A00-B99","Georgia",13,2010,2010,2438,9687653,25.2
133,"","Certain infectious and parasitic diseases","A00-B99","Hawaii",15,1999,1999,250,1210300,20.7
134,"","Certain infectious and parasitic diseases","A00-B99","Hawaii",15,2000,2000,216,1211537,17.8
135,"","Certain infectious and parasitic diseases","A00-B99","Hawaii",15,2001,2001,241,1225948,19.7
136,"","Certain infectious and parasitic diseases","A00-B99","Hawaii",15,2002,2002,227,1239613,18.3
137,"","Certain infectious and parasitic diseases","A00-B99","Hawaii",15,2003,2003,229,1251154,18.3
138,"","Certain infectious and parasitic diseases","A00-B99","Hawaii",15,2004,2004,286,1273569,22.5
139,"","Certain infectious and parasitic diseases","A00-B99","Hawaii",15,2005,2005,253,1292729,19.6
140,"","Certain infectious and parasitic diseases","A00-B99","Hawaii",15,2006,2006,267,1309731,20.4
141,"","Certain infectious and parasitic diseases","A00-B99","Hawaii",15,2007,2007,249,1315675,18.9
142,"","Certain infectious and parasitic diseases","A00-B99","Hawaii",15,2008,2008,249,1332213,18.7
143,"","Certain infectious and parasitic diseases","A00-B99","Hawaii",15,2009,2009,216,1346717,16
144,"","Certain infectious and parasitic diseases","A00-B99","Hawaii",15,2010,2010,232,1360301,17.1
145,"","Certain infectious and parasitic diseases","A00-B99","Idaho",16,1999,1999,125,1275674,9.8
146,"","Certain infectious and parasitic diseases","A00-B99","Idaho",16,2000,2000,123,1293953,9.5
147,"","Certain infectious and parasitic diseases","A00-B99","Idaho",16,2001,2001,115,1319962,8.7
148,"","Certain infectious and parasitic diseases","A00-B99","Idaho",16,2002,2002,137,1340372,10.2
149,"","Certain infectious and parasitic diseases","A00-B99","Idaho",16,2003,2003,124,1363380,9.1
150,"","Certain infectious and parasitic diseases","A00-B99","Idaho",16,2004,2004,118,1391802,8.5
151,"","Certain infectious and parasitic diseases","A00-B99","Idaho",16,2005,2005,138,1428241,9.7
152,"","Certain infectious and parasitic diseases","A00-B99","Idaho",16,2006,2006,171,1468669,11.6
153,"","Certain infectious and parasitic diseases","A00-B99","Idaho",16,2007,2007,150,1505105,10
154,"","Certain infectious and parasitic diseases","A00-B99","Idaho",16,2008,2008,167,1534320,10.9
155,"","Certain infectious and parasitic diseases","A00-B99","Idaho",16,2009,2009,165,1554439,10.6
156,"","Certain infectious and parasitic diseases","A00-B99","Idaho",16,2010,2010,174,1567582,11.1
157,"","Certain infectious and parasitic diseases","A00-B99","Illinois",17,1999,1999,2894,12359020,23.4
158,"","Certain infectious and parasitic diseases","A00-B99","Illinois",17,2000,2000,2836,12419293,22.8
159,"","Certain infectious and parasitic diseases","A00-B99","Illinois",17,2001,2001,2971,12488445,23.8
160,"","Certain infectious and parasitic diseases","A00-B99","Illinois",17,2002,2002,3129,12525556,25
161,"","Certain infectious and parasitic diseases","A00-B99","Illinois",17,2003,2003,3127,12556006,24.9
162,"","Certain infectious and parasitic diseases","A00-B99","Illinois",17,2004,2004,3084,12589773,24.5
163,"","Certain infectious and parasitic diseases","A00-B99","Illinois",17,2005,2005,3096,12609903,24.6
164,"","Certain infectious and parasitic diseases","A00-B99","Illinois",17,2006,2006,3091,12643955,24.4
165,"","Certain infectious and parasitic diseases","A00-B99","Illinois",17,2007,2007,3200,12695866,25.2
166,"","Certain infectious and parasitic diseases","A00-B99","Illinois",17,2008,2008,3081,12747038,24.2
167,"","Certain infectious and parasitic diseases","A00-B99","Illinois",17,2009,2009,3170,12796778,24.8
168,"","Certain infectious and parasitic diseases","A00-B99","Illinois",17,2010,2010,3117,12830632,24.3
169,"","Certain infectious and parasitic diseases","A00-B99","Indiana",18,1999,1999,1174,6044969,19.4
170,"","Certain infectious and parasitic diseases","A00-B99","Indiana",18,2000,2000,1177,6080485,19.4
171,"","Certain infectious and parasitic diseases","A00-B99","Indiana",18,2001,2001,1164,6127760,19
172,"","Certain infectious and parasitic diseases","A00-B99","Indiana",18,2002,2002,1220,6155967,19.8
173,"","Certain infectious and parasitic diseases","A00-B99","Indiana",18,2003,2003,1253,6196638,20.2
174,"","Certain infectious and parasitic diseases","A00-B99","Indiana",18,2004,2004,1232,6233007,19.8
175,"","Certain infectious and parasitic diseases","A00-B99","Indiana",18,2005,2005,1298,6278616,20.7
176,"","Certain infectious and parasitic diseases","A00-B99","Indiana",18,2006,2006,1340,6332669,21.2
177,"","Certain infectious and parasitic diseases","A00-B99","Indiana",18,2007,2007,1318,6379599,20.7
178,"","Certain infectious and parasitic diseases","A00-B99","Indiana",18,2008,2008,1386,6424806,21.6
179,"","Certain infectious and parasitic diseases","A00-B99","Indiana",18,2009,2009,1406,6459325,21.8
180,"","Certain infectious and parasitic diseases","A00-B99","Indiana",18,2010,2010,1442,6483802,22.2
181,"","Certain infectious and parasitic diseases","A00-B99","Iowa",19,1999,1999,382,2917634,13.1
182,"","Certain infectious and parasitic diseases","A00-B99","Iowa",19,2000,2000,371,2926324,12.7
183,"","Certain infectious and parasitic diseases","A00-B99","Iowa",19,2001,2001,398,2931997,13.6
184,"","Certain infectious and parasitic diseases","A00-B99","Iowa",19,2002,2002,382,2934234,13
185,"","Certain infectious and parasitic diseases","A00-B99","Iowa",19,2003,2003,362,2941999,12.3
186,"","Certain infectious and parasitic diseases","A00-B99","Iowa",19,2004,2004,388,2953635,13.1
187,"","Certain infectious and parasitic diseases","A00-B99","Iowa",19,2005,2005,360,2964454,12.1
188,"","Certain infectious and parasitic diseases","A00-B99","Iowa",19,2006,2006,427,2982644,14.3
189,"","Certain infectious and parasitic diseases","A00-B99","Iowa",19,2007,2007,435,2999212,14.5
190,"","Certain infectious and parasitic diseases","A00-B99","Iowa",19,2008,2008,493,3016734,16.3
191,"","Certain infectious and parasitic diseases","A00-B99","Iowa",19,2009,2009,462,3032870,15.2
192,"","Certain infectious and parasitic diseases","A00-B99","Iowa",19,2010,2010,446,3046355,14.6
193,"","Certain infectious and parasitic diseases","A00-B99","Kansas",20,1999,1999,430,2678338,16.1
194,"","Certain infectious and parasitic diseases","A00-B99","Kansas",20,2000,2000,400,2688418,14.9
195,"","Certain infectious and parasitic diseases","A00-B99","Kansas",20,2001,2001,433,2702162,16
196,"","Certain infectious and parasitic diseases","A00-B99","Kansas",20,2002,2002,475,2713535,17.5
197,"","Certain infectious and parasitic diseases","A00-B99","Kansas",20,2003,2003,495,2723004,18.2
198,"","Certain infectious and parasitic diseases","A00-B99","Kansas",20,2004,2004,433,2734373,15.8
199,"","Certain infectious and parasitic diseases","A00-B99","Kansas",20,2005,2005,437,2745299,15.9
200,"","Certain infectious and parasitic diseases","A00-B99","Kansas",20,2006,2006,485,2762931,17.6
201,"","Certain infectious and parasitic diseases","A00-B99","Kansas",20,2007,2007,473,2783785,17
202,"","Certain infectious and parasitic diseases","A00-B99","Kansas",20,2008,2008,560,2808076,19.9
203,"","Certain infectious and parasitic diseases","A00-B99","Kansas",20,2009,2009,610,2832704,21.5
204,"","Certain infectious and parasitic diseases","A00-B99","Kansas",20,2010,2010,542,2853118,19
205,"","Certain infectious and parasitic diseases","A00-B99","Kentucky",21,1999,1999,838,4018053,20.9
206,"","Certain infectious and parasitic diseases","A00-B99","Kentucky",21,2000,2000,831,4041769,20.6
207,"","Certain infectious and parasitic diseases","A00-B99","Kentucky",21,2001,2001,873,4068132,21.5
208,"","Certain infectious and parasitic diseases","A00-B99","Kentucky",21,2002,2002,903,4089875,22.1
209,"","Certain infectious and parasitic diseases","A00-B99","Kentucky",21,2003,2003,835,4117170,20.3
210,"","Certain infectious and parasitic diseases","A00-B99","Kentucky",21,2004,2004,879,4146101,21.2
211,"","Certain infectious and parasitic diseases","A00-B99","Kentucky",21,2005,2005,875,4182742,20.9
212,"","Certain infectious and parasitic diseases","A00-B99","Kentucky",21,2006,2006,964,4219239,22.8
213,"","Certain infectious and parasitic diseases","A00-B99","Kentucky",21,2007,2007,988,4256672,23.2
214,"","Certain infectious and parasitic diseases","A00-B99","Kentucky",21,2008,2008,1059,4289878,24.7
215,"","Certain infectious and parasitic diseases","A00-B99","Kentucky",21,2009,2009,1125,4317074,26.1
216,"","Certain infectious and parasitic diseases","A00-B99","Kentucky",21,2010,2010,1098,4339367,25.3
217,"","Certain infectious and parasitic diseases","A00-B99","Louisiana",22,1999,1999,1385,4460811,31
218,"","Certain infectious and parasitic diseases","A00-B99","Louisiana",22,2000,2000,1436,4468976,32.1
219,"","Certain infectious and parasitic diseases","A00-B99","Louisiana",22,2001,2001,1426,4477875,31.8
220,"","Certain infectious and parasitic diseases","A00-B99","Louisiana",22,2002,2002,1487,4497267,33.1
221,"","Certain infectious and parasitic diseases","A00-B99","Louisiana",22,2003,2003,1500,4521042,33.2
222,"","Certain infectious and parasitic diseases","A00-B99","Louisiana",22,2004,2004,1540,4552238,33.8
223,"","Certain infectious and parasitic diseases","A00-B99","Louisiana",22,2005,2005,1608,4576628,35.1
224,"","Certain infectious and parasitic diseases","A00-B99","Louisiana",22,2006,2006,1401,4302665,32.6
225,"","Certain infectious and parasitic diseases","A00-B99","Louisiana",22,2007,2007,1480,4375581,33.8
226,"","Certain infectious and parasitic diseases","A00-B99","Louisiana",22,2008,2008,1463,4435586,33
227,"","Certain infectious and parasitic diseases","A00-B99","Louisiana",22,2009,2009,1459,4491648,32.5
228,"","Certain infectious and parasitic diseases","A00-B99","Louisiana",22,2010,2010,1336,4533372,29.5
229,"","Certain infectious and parasitic diseases","A00-B99","Maine",23,1999,1999,189,1266808,14.9
230,"","Certain infectious and parasitic diseases","A00-B99","Maine",23,2000,2000,188,1274923,14.7
231,"","Certain infectious and parasitic diseases","A00-B99","Maine",23,2001,2001,185,1285692,14.4
232,"","Certain infectious and parasitic diseases","A00-B99","Maine",23,2002,2002,223,1295960,17.2
233,"","Certain infectious and parasitic diseases","A00-B99","Maine",23,2003,2003,228,1306513,17.5
234,"","Certain infectious and parasitic diseases","A00-B99","Maine",23,2004,2004,299,1313688,22.8
235,"","Certain infectious and parasitic diseases","A00-B99","Maine",23,2005,2005,296,1318787,22.4
236,"","Certain infectious and parasitic diseases","A00-B99","Maine",23,2006,2006,291,1323619,22
237,"","Certain infectious and parasitic diseases","A00-B99","Maine",23,2007,2007,285,1327040,21.5
238,"","Certain infectious and parasitic diseases","A00-B99","Maine",23,2008,2008,266,1330509,20
239,"","Certain infectious and parasitic diseases","A00-B99","Maine",23,2009,2009,288,1329590,21.7
240,"","Certain infectious and parasitic diseases","A00-B99","Maine",23,2010,2010,276,1328361,20.8
241,"","Certain infectious and parasitic diseases","A00-B99","Maryland",24,1999,1999,1886,5254509,35.9
242,"","Certain infectious and parasitic diseases","A00-B99","Maryland",24,2000,2000,1779,5296486,33.6
243,"","Certain infectious and parasitic diseases","A00-B99","Maryland",24,2001,2001,1839,5374691,34.2
244,"","Certain infectious and parasitic diseases","A00-B99","Maryland",24,2002,2002,1962,5440389,36.1
245,"","Certain infectious and parasitic diseases","A00-B99","Maryland",24,2003,2003,2076,5496269,37.8
246,"","Certain infectious and parasitic diseases","A00-B99","Maryland",24,2004,2004,1972,5546935,35.6
247,"","Certain infectious and parasitic diseases","A00-B99","Maryland",24,2005,2005,2017,5592379,36.1
248,"","Certain infectious and parasitic diseases","A00-B99","Maryland",24,2006,2006,1902,5627367,33.8
249,"","Certain infectious and parasitic diseases","A00-B99","Maryland",24,2007,2007,1820,5653408,32.2
250,"","Certain infectious and parasitic diseases","A00-B99","Maryland",24,2008,2008,1924,5684965,33.8
251,"","Certain infectious and parasitic diseases","A00-B99","Maryland",24,2009,2009,1967,5730388,34.3
252,"","Certain infectious and parasitic diseases","A00-B99","Maryland",24,2010,2010,1693,5773552,29.3
253,"","Certain infectious and parasitic diseases","A00-B99","Massachusetts",25,1999,1999,1471,6317345,23.3
254,"","Certain infectious and parasitic diseases","A00-B99","Massachusetts",25,2000,2000,1406,6349097,22.1
255,"","Certain infectious and parasitic diseases","A00-B99","Massachusetts",25,2001,2001,1488,6397634,23.3
256,"","Certain infectious and parasitic diseases","A00-B99","Massachusetts",25,2002,2002,1534,6417206,23.9
257,"","Certain infectious and parasitic diseases","A00-B99","Massachusetts",25,2003,2003,1552,6422565,24.2
258,"","Certain infectious and parasitic diseases","A00-B99","Massachusetts",25,2004,2004,1543,6412281,24.1
259,"","Certain infectious and parasitic diseases","A00-B99","Massachusetts",25,2005,2005,1598,6403290,25
260,"","Certain infectious and parasitic diseases","A00-B99","Massachusetts",25,2006,2006,1556,6410084,24.3
261,"","Certain infectious and parasitic diseases","A00-B99","Massachusetts",25,2007,2007,1496,6431559,23.3
262,"","Certain infectious and parasitic diseases","A00-B99","Massachusetts",25,2008,2008,1476,6468967,22.8
263,"","Certain infectious and parasitic diseases","A00-B99","Massachusetts",25,2009,2009,1496,6517613,23
264,"","Certain infectious and parasitic diseases","A00-B99","Massachusetts",25,2010,2010,1551,6547629,23.7
265,"","Certain infectious and parasitic diseases","A00-B99","Michigan",26,1999,1999,1841,9897116,18.6
266,"","Certain infectious and parasitic diseases","A00-B99","Michigan",26,2000,2000,1705,9938444,17.2
267,"","Certain infectious and parasitic diseases","A00-B99","Michigan",26,2001,2001,1551,9991120,15.5
268,"","Certain infectious and parasitic diseases","A00-B99","Michigan",26,2002,2002,1681,10015710,16.8
269,"","Certain infectious and parasitic diseases","A00-B99","Michigan",26,2003,2003,1603,10041152,16
270,"","Certain infectious and parasitic diseases","A00-B99","Michigan",26,2004,2004,1569,10055315,15.6
271,"","Certain infectious and parasitic diseases","A00-B99","Michigan",26,2005,2005,1777,10051137,17.7
272,"","Certain infectious and parasitic diseases","A00-B99","Michigan",26,2006,2006,1737,10036081,17.3
273,"","Certain infectious and parasitic diseases","A00-B99","Michigan",26,2007,2007,1769,10001284,17.7
274,"","Certain infectious and parasitic diseases","A00-B99","Michigan",26,2008,2008,1902,9946889,19.1
275,"","Certain infectious and parasitic diseases","A00-B99","Michigan",26,2009,2009,1867,9901591,18.9
276,"","Certain infectious and parasitic diseases","A00-B99","Michigan",26,2010,2010,1872,9883640,18.9
277,"","Certain infectious and parasitic diseases","A00-B99","Minnesota",27,1999,1999,495,4873481,10.2
278,"","Certain infectious and parasitic diseases","A00-B99","Minnesota",27,2000,2000,466,4919479,9.5
279,"","Certain infectious and parasitic diseases","A00-B99","Minnesota",27,2001,2001,457,4982796,9.2
280,"","Certain infectious and parasitic diseases","A00-B99","Minnesota",27,2002,2002,538,5018935,10.7
281,"","Certain infectious and parasitic diseases","A00-B99","Minnesota",27,2003,2003,554,5053572,11
282,"","Certain infectious and parasitic diseases","A00-B99","Minnesota",27,2004,2004,517,5087713,10.2
283,"","Certain infectious and parasitic diseases","A00-B99","Minnesota",27,2005,2005,542,5119598,10.6
284,"","Certain infectious and parasitic diseases","A00-B99","Minnesota",27,2006,2006,566,5163555,11
285,"","Certain infectious and parasitic diseases","A00-B99","Minnesota",27,2007,2007,641,5207203,12.3
286,"","Certain infectious and parasitic diseases","A00-B99","Minnesota",27,2008,2008,638,5247018,12.2
287,"","Certain infectious and parasitic diseases","A00-B99","Minnesota",27,2009,2009,656,5281203,12.4
