"","Mission_Name","Organization","Organization_Type","Nation","Sat_Type","Launch_Year","Rocket","Orbit","Mission_Type"
"16","CanX-1","University of Toronto Institute for Aerospace Studies","University","Canada","1U","03/30/03","Rokot-KM","820 km, 98.73 degree inclination","Space Technology"
"17","CUTE-I (Cubical Tokyo Tech Engineering Satellite-I)","Tokyo Institute of Technology","University","Japan","1U","03/30/03","Rokot-KM","820 km, 98.73 degree inclination","Space Technology"
"18","DTUSat-1","Technical University of Denmark","University","Denmark","1U","03/30/03","Rokot-KM","820 km, 98.73 degree inclination","Space Technology"
"19","QuakeSat","Stanford University","University","US","3U","03/30/03","Rokot-KM","820 km, 98.73 degree inclination","Space Technology"
"20","XI-IV","University of Tokyo","University","Japan","1U","03/30/03","Rokot-KM","820 km, 98.73 degree inclination","Space Technology"
"21","UNOSAT 1 (Undergraduate Orbital Student Satellite)","Universidade Norte do Paraná","University","Brazil","8.83 kg","08/22/03","VLS-1","Launch failure","Space Technology"
"22","TNS-0 (TEKh-42, Technologicesky Nanosputnik)","Moscow Russian Scientific Research Institute","Institute","Russia","4.5 kg","02/28/05","Sojuz-U","ISS","Space Technology"
"23","nCube-2","Norwegian University of Technology and Science (NTNU), Narvik University College (HiN) and the Agricultural University of Norway (NLH)","University","Norway","1U","10/27/05","Kosmos-3M","686 km, 98 degree inclination","Space Technology"
"24","UWE-1","University of Würzburg","University","Germany","1U","10/27/05","Kosmos-3M","686 km, 98 degree inclination","Space Technology"
"25","XI-V","University of Tokyo","University","Japan","1U","10/27/05","Kosmos-3M","686 km, 98 degree inclination","Space Technology"
"26","CUTE-1.7+APD","Tokyo Institute of Technology","University","Japan","1U","02/21/06","M-V-8 (M-5)","185 x 800 km, 98.4 degree inclination","Space Technology"
"27","AeroCube-1","The Aerospace Corporation","Non-profit","US","1U","07/26/06","Dnepr","Launch failure","Space Technology"
"28","CP1","California Polytechnic University","University","US","1U","07/26/06","Dnepr","Launch failure","Space Technology"
"29","CP2","California Polytechnic University","University","US","1U","07/26/06","Dnepr","Launch failure","Space Technology"
"30","HAUSat-1 (Hannuri-1, Hankuk Aviation University SATellite-1)","Korea Aerospace University (Hankuk Aviation University)","University","South Korea","1U","07/26/06","Dnepr","Launch failure","Space Technology"
"31","ICECube 1 (Ionospheric sCintillation Experimental CubeSat)","Cornell University","University","US","1U","07/26/06","Dnepr","Launch failure","Space Technology"
"32","ICECube 2 (Ionospheric sCintillation Experimental CubeSat)","Cornell University","University","US","1U","07/26/06","Dnepr","Launch failure","Space Technology"
"33","ION","University of Illinois","University","US","2U","07/26/06","Dnepr","Launch failure","Space Science"
"34","KUTESat","University of Kansas","University","US","1U","07/26/06","Dnepr","Launch failure","Space Technology"
"35","Mea Huaka (Voyager)","University of Hawaii","University","US","1U","07/26/06","Dnepr","Launch failure","Space Technology"
"36","MEROPE (Montana Earth-Orbiting Pico-Explorer)","Montana State University","University","US","1U","07/26/06","Dnepr","Launch failure","Space Technology"
"37","nCube-1","Norwegian University of Technology and Science (NTNU), Narvik University College (HiN) and the Agricultural University of Norway (NLH)","University","Norway","1U","07/26/06","Dnepr","Launch failure","Space Technology"
"38","PicPoT (Small Satellite of Politecnico di Torino)","Polytechnic University of Turin","University","Italy","2.5 kg","07/26/06","Dnepr","Launch failure","Space Technology"
"39","RinCon 1","University of Arizona","University","US","1U","07/26/06","Dnepr","Launch failure","Space Technology"
"40","SACRED (AlcatelSat)","University of Arizona","University","US","1U","07/26/06","Dnepr","Launch failure","Space Technology"
"41","SEEDS","Nihon University","University","Japan","1U","07/26/06","Dnepr","Launch failure","Space Technology"
"42","HIT-Sat","Hokkaido Institute of Technology","University","Japan","2.7 kg","09/22/06","M-V-7 (M-5)","250 x 600 km, 98 degree inclination","Space Technology"
"43","RAFT1","US Naval Academy Satellite Lab","University","US","4 kg","10/12/06","Shuttle","ISS","Space Technology"
"44","MARScom","US Naval Academy Satellite Lab","University","US","3 kg","12/09/06","Shuttle","ISS","Space Technology"
"45","MEPSI 2A","DARPA","Military","US","1U","12/09/06","Shuttle","ISS","Space Technology"
"46","MEPSI 2B","DARPA","Military","US","1U","12/09/06","Shuttle","ISS","Space Technology"
"47","GeneSat-1","NASA/Santa Clara University","Agency","US","3U","12/16/06","Minotaur I","410 km, 40 degree inclination","Space Activity"
"48","PehuenSat 1","National University of Comahue","University","Argentina","6 kg","01/10/07","PSLV","638 km","Space Technology"
"49","CAPE-1","University of Louisiana at Lafayette","University","US","1U","04/17/07","Dnepr","668 km, SSO","Space Technology"
"50","CP3","California Polytechnic University","University","US","1U","04/17/07","Dnepr","668 km, SSO","Space Technology"
"51","CP4","California Polytechnic University","University","US","1U","04/17/07","Dnepr","668 km, SSO","Space Technology"
"52","CSTB-1 (CubeSat TestBed 1)","Boeing","Company","US","1U","04/17/07","Dnepr","668 km, SSO","Space Technology"
"53","Libertad-1","Sergio Arboleda University","University","Colombia","1U","04/17/07","Dnepr","668 km, SSO","Space Activity"
"54","MAST","Tethers Unlimited","Company","US","3U","04/17/07","Dnepr","668 km, SSO","Space Technology"
"55","AeroCube-2","The Aerospace Corporation","Non-profit","US","1U","04/17/07","Dnepr","668 km, SSO","Space Technology"
"56","MEMS-Pico (ZDPS-1, Zheda Pixing)","Zhejiang University","University","China","1 kg","05/25/07","Long March 2D","631 x 655 km, 97.8 degree inclination","Space Technology"
"57","AAUSAT2","Aalborg University","University","Denmark","1U","04/28/08","PSLV","615 x 634 km, SSO, 97.94 degree inclination","Space Technology"
"58","CanX-2","University of Toronto Institute for Aerospace Studies","University","Canada","3U","04/28/08","PSLV","615 x 634 km, SSO, 97.94 degree inclination","Space Technology"
"59","CanX-6","University of Toronto Institute for Aerospace Studies","University","Canada","6.5 kg","04/28/08","PSLV","615 x 634 km, SSO, 97.94 degree inclination","Space Technology"
"60","Compass-1","Aachen University of Applied Sciences","University","Germany","1U","04/28/08","PSLV","615 x 634 km, SSO, 97.94 degree inclination","Space Technology"
"61","CUTE-1.7+APD-2","Tokyo Institute of Technology","University","Japan","3 kg","04/28/08","PSLV","615 x 634 km, SSO, 97.94 degree inclination","Space Technology"
"62","Delfi-C3","Delft University of Technology","University","Netherlands","3U","04/28/08","PSLV","615 x 634 km, SSO, 97.94 degree inclination","Space Technology"
"63","SEEDS-2 (Space Engineering EDucation Satellite-2)","Nihon University","University","Japan","1U","04/28/08","PSLV","615 x 634 km, SSO, 97.94 degree inclination","Space Technology"
"64","NanoSail-D","NASA/ Ames Research Center","Agency","US","3U","08/03/08","Falcon-1","Launch failure","Space Technology"
"65","PreSat (PharmaSat Risk Evaluation Satellite)","NASA Ames Research Center","Agency","US","3U","08/03/08","Falcon-1","Launch failure","Space Technology"
"66","PSSC (PSSCT, Pico Satellite Solar Cell Testbed)","The Aerospace Corporation","Military","US","6.5 kg","11/29/08","Shuttle","345 km, 51.6 degree inclination","Space Technology"
"67","KKS-1 (Kouku Kosen Satellite-1, KISEKI)","Tokyo Metropolitan College of Industrial Technology","University","Japan","3.17 kg","01/23/09","H-IIA","660 km, SSO, 98 degree inclination","Space Technology"
"68","PRISM (Picosatellite for Remote¿sensing and Innovative Space Missions)","University of Tokyo","University","Japan","8.5 kg","01/23/09","H-IIA","660 km, SSO, 98 degree inclination","Space Activity"
"69","STARS-1 Daughter (KUKAI, KAI, Space Tethered autonomous Robotic Satellite 1)","Kagawa University","University","Japan","3.8 kg","01/23/09","H-IIA","660 km, SSO, 98 degree inclination","Space Technology"
"70","STARS-1 Mother (KUKAI, KU, Space Tethered autonomous Robotic Satellite 1)","Kagawa University","University","Japan","4.2 kg","01/23/09","H-IIA","660 km, SSO, 98 degree inclination","Space Technology"
"71","AeroCube-3","The Aerospace Corporation","Non-profit","US","1U","05/19/09","Minotaur I","450 km, 40.4 degree inclination","Space Technology"
"72","CP6","California Polytechnic University","University","US","1U","05/19/09","Minotaur I","450 km, 40.4 degree inclination","Space Technology"
"73","HawkSat I","Hawk Institute of Space Sciences","Company","US","1U","05/19/09","Minotaur I","450 km, 40.4 degree inclination","Space Technology"
"74","PharmaSat 1 (GeneSat-2)","Santa Clara University, NASA Ames Small Spacecraft Division","Agency","US","3U","05/19/09","Minotaur I","450 km, 40.4 degree inclination","Space Activity"
"75","Aggiesat-2 (Dragonsat 2)","Texas A&M University","University","US","3.2 kg","07/15/09","Shuttle","336 km,","Space Technology"
"76","BEVO 1 (DragonSat 1)","University of Texas at Austin","University","US","3.5 kg","07/15/09","Shuttle","336 km,","Space Technology"
"77","BEESAT-1","Berlin Technical University","University","Germany","1U","09/23/09","PSLV","730 km, 98.3 degree inclination","Space Technology"
"78","ITUpSAT-1","Istanbul Technical University","University","Turkey","1U","09/23/09","PSLV","730 km, 98.3 degree inclination","Space Technology"
"79","SwissCube-1","Swiss Federal Institute of Technology (EPFL)","University","Switzerland","1U","09/23/09","PSLV","730 km, 98.3 degree inclination","Space Science"
"80","UWE-2","University of Würzburg","University","Germany","1U","09/23/09","PSLV","730 km, 98.3 degree inclination","Space Technology"
"81","KSat (Hayato, Kagoshima Satellite, K-Sat)","Kagoshima University","University","Japan","1U","05/20/10","H-IIA","288 x 309 km, 30 degree inclination","Space Technology"
"82","Negai (Negai-Star)","Soka University","University","Japan","1U","05/20/10","H-IIA","288 x 309 km, 30 degree inclination","Space Technology"
"83","Waseda-Sat2","Waseda University","University","Japan","1U","05/20/10","H-IIA","288 x 309 km, 30 degree inclination","Space Technology"
"84","AISSat-1","University of Toronto Institute for Aerospace Studies Space Flight Lab","University","Norway","7 kg","07/12/10","PSLV","630 km, SSO","Space Technology"
"85","StudSat-1 (Student Satellite-1)","Nitte Meenakshi Institute of Technology","University","India","1U","07/12/10","PSLV","630 km, SSO","Space Technology"
"86","TISAT-1","University of Applied Sciences of Southern Switzerland (SUPSI)","University","Switzerland","1U","07/12/10","PSLV","630 km, SSO","Space Technology"
"87","ZDPS 1A 01 (Zheda Pixing)","Zhejiang University","University","China","3.5 kg","09/22/10","Long March 2D","645 km, SSO","Space Technology"
"88","ZDPS 1A 02 (Zheda Pixing)","Zhejiang University","University","China","3.5 kg","09/22/10","Long March 2D","645 km, SSO","Space Technology"
"89","NanoSail-D2","NASA Ames Research Center","Agency","US","3U","11/20/10","Minotaur IV","650 km, 72 degree inclination","Space Technology"
"90","O/OREOS (Organism/ORganics Exposure to Orbital Stresses) Nanosatellite","NASA Ames Research Center","Agency","US","3U","11/20/10","Minotaur IV","650 km, 72 degree inclination","Space Technology"
"91","RAX (Radio Aurora eXplorer)","University of Michigan","University","US","3U","11/20/10","Minotaur IV","650 km, 72 degree inclination","Space Science"
"92","Caerus-Mayflower","Northrop Grumman,","Company","US","3U","12/08/10","Falcon 9","273 x 300 km, 34.5 degree inclination","Space Technology"
"93","Perseus 000","Los Alamos National Laboratory","Institute","US","1.5U","12/08/10","Falcon 9","273 x 300 km, 34.5 degree inclination","Space Technology"
"94","Perseus 001","Los Alamos National Laboratory","Institute","US","1.5U","12/08/10","Falcon 9","273 x 300 km, 34.5 degree inclination","Space Technology"
"95","Perseus 002","Los Alamos National Laboratory","Institute","US","1.5U","12/08/10","Falcon 9","273 x 300 km, 34.5 degree inclination","Space Technology"
"96","Perseus 003","Los Alamos National Laboratory","Institute","US","1.5U","12/08/10","Falcon 9","273 x 300 km, 34.5 degree inclination","Space Technology"
"97","QbX-1","NRL Naval Center for Space for NRO","Military","US","3U","12/08/10","Falcon 9","273 x 300 km, 34.5 degree inclination","Space Technology"
"98","QbX-2","NRL Naval Center for Space for NRO","Military","US","3U","12/08/10","Falcon 9","273 x 300 km, 34.5 degree inclination","Space Technology"
"99","SMDC-ONE 1 (Space & Missile Defense Command-Operational Nanosatellite Effect)","Space & Missile Defense Command","Military","US","3U","12/08/10","Falcon 9","273 x 300 km, 34.5 degree inclination","Space Technology"
"100","HBRE (Explorer-1 prime, Hiscock Radiation Belt Explorer)","Montana State University","University","US","1U","03/04/11","Taurus-XL","Launch failure","Space Technology"
"101","Hermes","University of Colorado in Boulder","University","US","1U","03/04/11","Taurus-XL","Launch failure","Space Technology"
"102","KySat-1","Kentucky universities","University","US","1U","03/04/11","Taurus-XL","Launch failure","Space Technology"
"103","PSSC-2 (Pico Satellite Solar Cell Testbed-2, PSSC Testbed-2, PSSCT-2)","The Aerospace Corporation","Military","US","3.7 kg","07/20/11","Shuttle","365 x 380 km, ISS","Space Technology"
"104","Jugnu","Indian Institute of Technology Kanpur","University","India","3U","10/12/11","PSLV","860 km, 20 degree inclination","Space Technology"
"105","SRMSat (Sri Ramaswamy Memorial)","SRM University","University","India","10 kg","10/12/11","PSLV","860 km, 20 degree inclination","Space Science"
"106","AubieSat-1","Aubum University","University","US","1U","10/28/11","Delta II","820 x 410 km, 102 degree inclination","Space Science"
"107","DICE-1 (Dynamic Ionosphere CubeSat Experiment)","Utah State University","University","US","1.5U","10/28/11","Delta II","820 x 410 km, 102 degree inclination","Space Science"
"108","DICE-2 (Dynamic Ionosphere CubeSat Experiment)","Utah State University","University","US","1.5U","10/28/11","Delta II","820 x 410 km, 102 degree inclination","Space Science"
"109","E1P U2 (HRBE , Explorer-1' U2, William A. Hiscock Radiation Belt Explorer)","Montana State University","University","US","1U","10/28/11","Delta II","820 x 410 km, 102 degree inclination","Space Technology"
"110","M-Cubed (COVE)","University of Michigan","University","US","1U","10/28/11","Delta II","820 x 410 km, 102 degree inclination","Space Technology"
"111","RAX-2 (Radio Aurora Explorer-2)","University of Michigan","University","US","3U","10/28/11","Delta II","820 x 410 km, 102 degree inclination","Space Science"
"112","MaSat-1","Budapest University of Technology and Economics","University","Hungary","1U","02/13/12","Vega","354 x 1450 km, 69.5 degree inclination","Space Technology"
"113","PW-Sat","Warsaw University of Technology","University","Poland","1U","02/13/12","Vega","354 x 1450 km, 69.5 degree inclination","Space Technology"
"114","ROBUSTA-1A","University of Montpellier II","University","France","1U","02/13/12","Vega","354 x 1450 km, 69.5 degree inclination","Space Technology"
"115","UNICubeSat-GG (Gravity Gradient)","Sapienza University of Rome","University","Italy","1U","02/13/12","Vega","354 x 1450 km, 69.5 degree inclination","Space Technology"
"116","Xatcobeo (Dieste)","University of Vigo","University","Spain","1U","02/13/12","Vega","354 x 1450 km, 69.5 degree inclination","Space Technology"
"117","e-st@r","Polytechnic University of Turin","University","Italy","1U","02/13/12","Vega","354 x 1450 km, 69.5 degree inclination","Space Technology"
"118","Goliat","University of Bucharest","University","Romania","1U","02/13/12","Vega","354 x 1450 km, 69.5 degree inclination","Space Technology"
"119","HORYU-2","Kyushu Institute of Technology","University","Japan","7.1 kg","05/17/12","H-IIA","680 km, 98.19 degree inclination","Space Technology"
"120","F-1","FPT University","University","Vietnam","1U","07/21/12","H-IIB","ISS","Space Technology"
"121","FITSat-1 (NIWAKA)","Fukuoka Institute of Technology","University","Japan","1U","07/21/12","H-IIB","ISS","Space Technology"
"122","RAIKO","Tohoku University","University","Japan","2U","07/21/12","H-IIB","ISS","Space Technology"
"123","TechEdSat (Technological and Educational Nanosatellite)","NASA Ames Research Center","Agency","US","1U","07/21/12","H-IIB","ISS","Space Technology"
"124","We Wish","Meisei Electric","Company","Japan","1U","07/21/12","H-IIB","ISS","Space Technology"
"125","TT 1 (TianTuo 1)","National University of Defense Technology","University","China","9.3 kg","09/08/12","Long March 4B","479 x 495 km, 97.4 degree inclination","Space Technology"
"126","AENEAS","University of Southern California","University","US","3U","09/13/12","Atlas V","770 x 480 km, 66 degree inclination","Space Technology"
"127","AeroCube-4A","The Aerospace Corporation","Non-profit","US","1U","09/13/12","Atlas V","770 x 480 km, 66 degree inclination","Space Technology"
"128","AeroCube-4B","The Aerospace Corporation","Non-profit","US","1U","09/13/12","Atlas V","770 x 480 km, 66 degree inclination","Space Technology"
"129","AeroCube-4C","The Aerospace Corporation","Non-profit","US","1U","09/13/12","Atlas V","770 x 480 km, 66 degree inclination","Space Technology"
"130","CINEMA (CubeSat for Ions, Neutrals, Electrons, & MAgnetic fields)","University of California","University","US","3U","09/13/12","Atlas V","770 x 480 km, 66 degree inclination","Space Science"
"131","CP5","California Polytechnic University","University","US","1U","09/13/12","Atlas V","770 x 480 km, 66 degree inclination","Space Technology"
"132","CSSWE (Colorado Student Space Weather Experiment)","University of Colorado","University","US","3U","09/13/12","Atlas V","770 x 480 km, 66 degree inclination","Space Science"
"133","CXBN (Cosmic X-ray Background Nanosatellite)","Morehead State University/Kentucky Space","University","US","2U","09/13/12","Atlas V","770 x 480 km, 66 degree inclination","Space Science"
"134","Re (STARE A, Space-based Telescopes for the Actionable Refinement of Ephemeris)","Lawrence Livermore National Laboratory","Institute","US","3U","09/13/12","Atlas V","770 x 480 km, 66 degree inclination","Space Technology"
"135","SMDC-ONE 2.1 (Able)","Space & Missile Defense Command","Military","US","3U","09/13/12","Atlas V","770 x 480 km, 66 degree inclination","Space Technology"
"136","SMDC-ONE 2.2 (Baker)","Space & Missile Defense Command","Military","US","3U","09/13/12","Atlas V","770 x 480 km, 66 degree inclination","Space Technology"
"137","AAUSAT3","Aalborg University","University","Denmark","1U","02/25/13","PSLV","781 km, 98.55 degree inclination","Space Technology"
"138","STRaND-1 (Surrey Training, Research and Nanosatellite Demonstrator)","Surrey Satellite Technology","Company","UK","3U","02/25/13","PSLV","781 km, 98.55 degree inclination","Space Technology"
"139","TUGSat 1 (Technische Universität Graz Satellit), BRITE-Austria (BRIght-star Target Explorer - Austria)","Graz University of Technology","University","Austria","7 kg","02/25/13","PSLV","781 km, 98.55 degree inclination","Space Science"
"140","UniBRITE-1","University of Vienna","University","Austria","7 kg","02/25/13","PSLV","781 km, 98.55 degree inclination","Space Science"
"141","BEESAT-2","Berlin Technical University","University","Germany","1U","04/19/13","Sojuz-2.1b","575 km, 64.9 degree inclination.","Space Technology"
"142","BEESAT-3","Berlin Technical University","University","Germany","1U","04/19/13","Sojuz-2.1b","575 km, 64.9 degree inclination.","Space Technology"
"143","Dove-2","Planet Labs","Company","US","3U","04/19/13","Sojuz-2.1b","575 km, 64.9 degree inclination.","Space Technology"
"144","OSSI-1","Open Source Satellite Initiative","Individual","South Korea","1U","04/19/13","Sojuz-2.1b","575 km, 64.9 degree inclination.","Space Technology"
"145","SOMP (Students Oxygen Measurement Project)","Dresden University of Technology","University","Germany","1U","04/19/13","Sojuz-2.1b","575 km, 64.9 degree inclination.","Space Technology"
"146","Dove-1","Planet Labs","Company","US","3U","04/21/13","Antares","250 x 260 km, 51.6 degree inclination","Space Technology"
"147","PhoneSat 1.0a (Graham)","NASA Ames Research Center","Agency","US","1U","04/21/13","Antares","251 x 260 km, 51.6 degree inclination","Space Technology"
"148","PhoneSat 1.0b (Bell)","NASA Ames Research Center","Agency","US","1U","04/21/13","Antares","252 x 260 km, 51.6 degree inclination","Space Technology"
"149","PhoneSat 2.0a (Alexander)","NASA Ames Research Center","Agency","US","1U","04/21/13","Antares","253 x 260 km, 51.6 degree inclination","Space Technology"
"150","CubeBug-1 (Capitán Beto)","Satellogic","Company","Argentina","2U","04/26/13","Long March 2D","650 km, 98.05 degree inclination","Space Technology"
"151","NEE-01 Pegaso","Ecuadorian Space Agency","Agency","Ecuador","1U","04/26/13","Long March 2D","650 km, 98.05 degree inclination","Space Technology"
"152","TurkSat-3USat","ITU (Istanbul Technical University","University","Turkey","3U","04/26/13","Long March 2D","650 km, 98.05 degree inclination","Space Technology"
"153","ESTCube-1","University of Tartu","University","Estonia","1U","05/07/13","Vega","670 km, 98.5 degree inclination.","Space Technology"
"154","ArduSat","Spire (Nanosatisfi)","Company","US","1U","08/03/13","H-2B","ISS","Space Activity"
"155","ArduSat-X","Spire (Nanosatisfi)","Company","US","1U","08/03/13","H-2B","ISS","Space Activity"
"156","Pico Dragon (Picodragon)","Vietnam National Satellite Center","Agency","Vietnam","1U","08/03/13","H-2B","ISS","Space Technology"
"157","TechEdSat-3p","NASA Ames Research Center","Agency","US","3U","08/03/13","H-2B","ISS","Space Technology"
"158","Prometheus 1-7","Los Alamos National Laboratory","Military","US","1.5U","11/20/13","Minotaur-1","500 km, 40.5 degree inclination","Space Technology"
"159","Prometheus 1-8","Los Alamos National Laboratory","Military","US","1.5U","11/20/13","Minotaur-1","500 km, 40.5 degree inclination","Space Technology"
"160","SENSE SV1 (Space Environmental NanoSat Experiment)","US Air Force","Military","US","3U","11/20/13","Minotaur-1","500 km, 40.5 degree inclination","Space Technology"
"161","SENSE SV2 (Space Environmental NanoSat Experiment)","US Air Force","Military","US","3U","11/20/13","Minotaur-1","500 km, 40.5 degree inclination","Space Technology"
"162","SwampSat","University of Florida","University","US","1U","11/20/13","Minotaur-1","500 km, 40.5 degree inclination","Space Technology"
"163","TJ3sat","Thomas Jefferson High School for Science and Technology","School","US","1U","11/20/13","Minotaur-1","500 km, 40.5 degree inclination","Space Technology"
"164","Trailblazer (SPA-1 Trailblazer)","University of New Mexico","University","US","1U","11/20/13","Minotaur-1","500 km, 40.5 degree inclination","Space Technology"
"165","Vermont (Lunar) Cubesat","Vermont Technical College/ University of Vermont","University","US","1U","11/20/13","Minotaur-1","500 km, 40.5 degree inclination","Space Technology"
"166","Black Knight 1 (BK 1)","West Point Military Academy","University","US","1U","11/20/13","Minotaur-1","500 km, 40.5 degree inclination","Space Technology"
"167","CAPE-2","University of Louisiana at Lafayette","University","US","1U","11/20/13","Minotaur-1","500 km, 40.5 degree inclination","Space Technology"
"168","ChargerSat-1 (ChargerSat 1.2)","University of Alabama in Huntsville","University","US","1U","11/20/13","Minotaur-1","500 km, 40.5 degree inclination","Space Technology"
"169","COPPER (Close Orbiting Propellant Plume and Elemental Recognition)","Saint Louis University","University","US","1U","11/20/13","Minotaur-1","500 km, 40.5 degree inclination","Space Technology"
"170","DragonSat 1","Drexel University","University","US","1U","11/20/13","Minotaur-1","500 km, 40.5 degree inclination","Space Technology"
"171","Firefly","NASA Goddard Space Flight Center","Agency","US","3U","11/20/13","Minotaur-1","500 km, 40.5 degree inclination","Space Science"
"172","Ho‘oponopono 2 (H2)","University of Hawaii at Manoa","University","US","3U","11/20/13","Minotaur-1","500 km, 40.5 degree inclination","Space Technology"
"173","Horus (STARE B, Space-Based Telescopes for Actionable Refinement of Ephemeris))","Lawrence Livermore National Laboratory","Institute","US","3U","11/20/13","Minotaur-1","500 km, 40.5 degree inclination","Space Technology"
"174","KYSAT II (KySat-2)","Kentucky universities","University","US","1U","11/20/13","Minotaur-1","500 km, 40.5 degree inclination","Space Technology"
"175","NPS-SCAT (Naval Postgraduate School Solar Cell Array Tester)","Naval Postgraduate School","University","US","1U","11/20/13","Minotaur-1","500 km, 40.5 degree inclination","Space Technology"
"176","ORS Tech 1","John Hopkins University","University","US","3U","11/20/13","Minotaur-1","500 km, 40.5 degree inclination","Space Technology"
"177","ORS Tech 2","John Hopkins University","University","US","3U","11/20/13","Minotaur-1","500 km, 40.5 degree inclination","Space Technology"
"178","ORSES (ORS 1)","Space & Missile Defense Command","Military","US","3U","11/20/13","Minotaur-1","500 km, 40.5 degree inclination","Space Technology"
"179","PhoneSat 2.4a","NASA Ames Research Center","Agency","US","1U","11/20/13","Minotaur-1","500 km, 40.5 degree inclination","Space Technology"
"180","Prometheus 1-1","Los Alamos National Laboratory","Military","US","1.5U","11/20/13","Minotaur-1","500 km, 40.5 degree inclination","Space Technology"
"181","Prometheus 1-2","Los Alamos National Laboratory","Military","US","1.5U","11/20/13","Minotaur-1","500 km, 40.5 degree inclination","Space Technology"
"182","Prometheus 1-3","Los Alamos National Laboratory","Military","US","1.5U","11/20/13","Minotaur-1","500 km, 40.5 degree inclination","Space Technology"
"183","Prometheus 1-4","Los Alamos National Laboratory","Military","US","1.5U","11/20/13","Minotaur-1","500 km, 40.5 degree inclination","Space Technology"
"184","Prometheus 1-5","Los Alamos National Laboratory","Military","US","1.5U","11/20/13","Minotaur-1","500 km, 40.5 degree inclination","Space Technology"
"185","Prometheus 1-6","Los Alamos National Laboratory","Military","US","1.5U","11/20/13","Minotaur-1","500 km, 40.5 degree inclination","Space Technology"
"186","$50Sat (50-Dollarsat, Eagle 2)","Morehead State University","University","US","PocketQube 1.5p","11/21/13","Dnepr","670 km, 97.79 degree inclination.","Space Technology"
"187","BRITE-PL-1","The Space Research Centre of the Polish Academy of Sciences","Institute","Poland","6 kg","11/21/13","Dnepr","670 km, 97.79 degree inclination.","Space Science"
"188","CINEMA 2 (TRIO 2, KHUSAT 1)","Kyung Hee University","University","South Korea","3U","11/21/13","Dnepr","670 km, 97.79 degree inclination.","Space Science"
"189","CINEMA 3 (TRIO 3, KHUSAT 2)","Kyung Hee University","University","South Korea","3U","11/21/13","Dnepr","670 km, 97.79 degree inclination.","Space Science"
"190","CubeBug-2 (Manolito)","Satellogic","Company","Argentina","2U","11/21/13","Dnepr","670 km, 97.79 degree inclination.","Space Technology"
"191","Delfi-n3Xt","Delft University of Technology","University","Netherlands","3U","11/21/13","Dnepr","670 km, 97.79 degree inclination.","Space Technology"
"192","Dove-3","Planet Labs","Company","US","3U","11/21/13","Dnepr","670 km, 97.79 degree inclination.","Space Technology"
"193","Dove-4","Planet Labs","Company","US","3U","11/21/13","Dnepr","670 km, 97.79 degree inclination.","Space Technology"
"194","FUNcube-1","AMSAT-UK","Non-profit","UK","1U","11/21/13","Dnepr","670 km, 97.79 degree inclination.","Space Activity"
